seed,num_stages,energy_consumed,psi_c_final,psi_s_final,mse_final
56,3,39604.87510358365,5047681773.973136,0.08717958634399058,0.3079042859973508
54,3,39981.78990877403,5047881828.0330305,0.16161137408642987,0.10421323058381714
42,3,38735.104281333406,5299434237.398153,0.27994203123035494,0.06819433849433254
48,3,39291.19752576016,5502709188.364983,0.05657302250652123,0.15750310825182748
50,3,38757.04524479147,5887698734.736147,0.20049274345500737,0.6337325027041857
44,3,38870.597261185736,5373893169.946309,0.2431245552081757,0.0037769603342143986
46,3,39162.55317833138,4931704099.18523,0.30656450500672755,0.05004184767324495
51,3,39998.04022541835,4230722805.933547,0.10278817844406747,0.034205463815147316
52,3,39588.28819739756,4105095763.0830855,0.164460313147574,0.06803468388353362
47,3,39724.006438255135,4837002242.492686,0.6158148146447956,0.1963721166646283
55,3,39999.244576171775,4378911400.120546,0.10559154405696164,0.3088889152392782
45,3,39910.7066924223,5531919984.033913,0.08139536795904857,0.052173102743035424
57,3,38944.96711265297,6179725239.1199255,0.40390860043468635,0.8127406670380233
53,3,39622.819668096534,5920108133.2599535,0.08201831310810652,0.020387861710562248
58,3,39232.664753590725,4917957758.695346,0.09923558597971954,0.04738854801504647
49,3,38970.13290691871,6060075718.965603,0.15863945750575986,0.08220226785753804
59,3,39263.96707094936,4799394930.875608,0.36226536905913703,0.5082237430384906
43,3,38384.795605659165,5381669105.837211,0.035428813951553485,0.03303366172650538
63,3,39708.10001299702,4232530830.0159125,0.07283452232102139,0.03679883288372542
62,3,39999.70222782114,5092565369.332971,0.1405494950954328,0.08112649239382444
60,3,39572.19406255287,4278339062.1887856,0.13904809478120542,0.03338533997296339
68,3,39984.771624913665,5289129591.841427,0.23608256189443014,0.01803713302606776
66,3,38989.96905868586,5520058384.191082,0.16006686559100738,0.06560079554037304
76,3,38599.84473605311,5649878486.232433,0.16166948066555895,0.16722167210733763
75,3,39996.64571498597,5192950856.705682,0.10767222171689474,0.046718588427088724
77,3,39926.554219092235,4433645004.103654,0.18112036347748658,0.1892043720454495
61,3,39516.30545722859,4469498391.794004,0.10438139554420828,0.04697792682105466
70,3,39032.05817170723,5766925818.689242,0.22016823731279075,0.06035935012166915
73,3,38826.25318741769,5185002156.993459,0.16949134879727112,0.14877358734314103
69,3,39995.02974815024,5514270389.937739,0.10047672388714292,0.0753876169352747
71,3,42203.33681584333,7236673380.415702,0.1573086123842466,36773.28351913853
74,3,39228.0848456524,5231496741.895097,0.2676038717388271,0.18827186724628509
72,3,38632.390139767485,5988939680.494635,0.04949467103034061,0.08500778805963019
65,3,39999.19127996216,5365577496.978051,0.07682199903578256,0.08718888399059314
64,3,38979.26491207428,5734794849.381536,0.05435993024208838,0.12181713789653464
67,3,39999.215897504764,5413052516.148685,0.12936332539327303,0.12162512639526671
79,3,39586.30244770628,4532274160.246218,0.2030841008039489,0.19851603684273122
81,3,39967.03761225821,4855159953.507664,0.09156048450582345,0.07415886765936992
80,3,39998.620821554156,4548282171.850492,0.17642970591974333,0.03857175350120058
86,3,39562.01119541851,5050910464.110386,0.7903925490985626,0.11354175135845604
90,3,39177.106892451506,5445847944.418854,0.09265497108628969,0.09237883578996185
91,3,39528.84330274601,5089897557.0927515,0.22291822485755894,0.26590665558305876
84,3,38843.10634984528,6093020936.802077,0.23959464064759486,0.03881970243991217
88,3,39664.99846541935,5381347300.740146,0.125782375673109,0.03433198015225705
85,3,39220.88162551168,5097214896.136924,0.0688326027589817,0.1157763694739335
89,3,39764.4908020205,4756143128.945073,0.1376124879113428,0.09714220099261431
78,3,39636.616725471475,5977864323.010533,0.09030068677720433,0.0603983650190625
87,3,39788.53265867461,5459501331.037778,0.09508461854069475,0.07269844184630886
83,3,39919.860853625236,5227657567.109756,0.07979133173483553,0.014990985717823445
82,3,39999.86956339709,4918466998.208224,0.7482555118548868,0.31614669627171943
