seed,num_stages,energy_consumed,psi_c_final,psi_s_final,mse_final
56,3,39604.87510358365,5047681773.973136,0.08717958634399058,0.3079042859973508
42,3,38735.104281333406,5299434237.398153,0.27994203123035494,0.06819433849433254
54,3,39981.78990877403,5047881828.0330305,0.16161137408642987,0.10421323058381714
48,3,39291.19752576016,5502709188.364983,0.05657302250652123,0.15750310825182748
46,3,39162.55317833138,4931704099.18523,0.30656450500672755,0.05004184767324495
50,3,38757.04524479147,5887698734.736147,0.20049274345500737,0.6337325027041857
52,3,39588.28819739756,4105095763.0830855,0.164460313147574,0.06803468388353362
51,3,39998.04022541835,4230722805.933547,0.10278817844406747,0.034205463815147316
44,3,38870.597261185736,5373893169.946309,0.2431245552081757,0.0037769603342143986
47,3,39724.006438255135,4837002242.492686,0.6158148146447956,0.1963721166646283
55,3,39999.244576171775,4378911400.120546,0.10559154405696164,0.3088889152392782
57,3,38944.96711265297,6179725239.1199255,0.40390860043468635,0.8127406670380233
53,3,39622.819668096534,5920108133.2599535,0.08201831310810652,0.020387861710562248
45,3,39910.7066924223,5531919984.033913,0.08139536795904857,0.052173102743035424
49,3,38970.13290691871,6060075718.965603,0.15863945750575986,0.08220226785753804
58,3,39232.664753590725,4917957758.695346,0.09923558597971954,0.04738854801504647
59,3,39343.56044950319,4775781750.2345915,0.37536121052799337,0.5315937414230795
43,3,38384.795605659165,5381669105.837211,0.035428813951553485,0.03303366172650538
62,3,39999.6367544096,5206954049.233956,0.11520006251821135,0.07931054028884879
63,3,39212.67400158935,5365783695.0297575,0.19142260061707173,13684.919297417584
68,3,39984.771624913665,5289129591.841427,0.23608256189443014,0.01803713302606776
60,3,39566.51192639632,4490890755.764552,0.12532173103852895,0.02315773531965291
75,3,39996.64571498597,5192950856.705682,0.10767222171689474,0.046718588427088724
69,3,39996.738547105335,5515584625.128545,0.10067239379894949,0.07592848846013786
72,3,38597.34740060424,6054266735.374959,0.05040509224012607,0.08977238035704138
70,3,39004.56921597331,5790275468.860318,0.22014745202459318,0.0618395616572922
73,3,38755.515270628246,5218114420.499089,0.16918262177305585,0.14459709133875537
61,3,39516.30545722859,4469498391.794004,0.10438139554420828,0.04697792682105466
64,3,39595.02165014473,5680190778.345655,0.05831493877997282,0.08641411576506544
71,3,42198.18649293581,7257033522.46938,0.15814752456002018,36755.45848699045
66,3,38876.43190501812,5507844262.796328,0.15924802175745917,0.06364961667078864
77,3,39962.5957764876,4429126659.073099,0.18235464957940176,0.18487583558153123
74,3,38917.42814163819,5444057433.662027,0.26741363568367194,0.18417284994910588
76,3,38694.4158224695,5784376640.605415,0.16107718024357257,0.22382771591066664
65,3,39999.19127996216,5365577496.978051,0.07682199903578256,0.08718888399059314
67,3,39999.215897504764,5413052516.148685,0.12936332539327303,0.12162512639526671
81,3,39943.16720932964,4855760836.882267,0.09194247049315252,0.0747118238598286
79,3,39614.47839144717,4532332690.859121,0.20310926372242122,0.1983914836450131
80,3,39998.620821554156,4548282171.850492,0.17642970591974333,0.03857175350120058
89,3,39781.90121073891,4756697464.993352,0.13764977251552646,0.09738580431931176
86,3,39399.360901073785,5122899295.219912,0.7888114975427407,0.11767224718436048
91,3,39520.82756012049,5090262905.16003,0.22292162066876736,0.26660748485502517
85,3,39080.65536166479,5078292606.140532,0.0704351105796318,0.09887027056810933
88,3,39666.157005061264,5403333826.860466,0.13186774742314625,0.054717866010007984
90,3,39161.27732467691,5455373300.626384,0.09311067715557932,0.09286804686287548
84,3,38797.29906086191,6080507531.445463,0.24074537878965674,0.04340816731919661
83,3,39975.359111253325,4762148133.066286,0.07084283485729155,0.034738478171261314
87,3,39826.86390438027,5457711893.633359,0.09428458105889308,0.07297416987364203
82,3,39999.96492296993,4936818164.763548,0.5848837222203945,0.07432729093205491
78,3,39602.619181576876,4958413937.307356,0.07432986369357442,0.016675241762634983
